"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"Vista Blue Sitesinde Kiralık Eşyalı 2+1","102","2+1","30.000 TL","Kuşadası",""
"İNCİRLİOVA İSTİKLAL MAH'DE KİRALIK 5+1 DUBLEKS DAİRE","220","5+1","17.000 TL","İncirliova",""
"İNCİRLİOVANIN EN GÖZDE SİTESİNDE KİRALIK 3+1 DAİRE","160","3+1","17.500 TL","İncirliova",""
"2+1 EŞYALI KİRALIK DOĞALGAZLI BALKONLU MANZARALI DUBLEKS DAİRE","110","2+1","11.000 TL","İncirliova",""
"AYDIN EFELER HASAN EFENDİ MAHALLESİNDE EŞYALI KİRALIK ESYALI 3+1","130","3+1","13.000 TL","EfelerMerkez",""
"Doğu gazi bulvarında zafer meydanına bakan daire de","70","1+1","13.900 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"ZAFER MAH. KİRALIK 2+1 DAİRE","120","3+1","7.000 TL","NazilliAltıntaş",""
"Davutlar merkezde devamlı kiralık 2+1 daire","90","2+1","11.000 TL","KuşadasıDavutlar",""
"KADINLAR DENİZİNDE HAVUZLU SIFIR LÜX EŞYALI YAZLIK","85","1+1","250.000 TL","Kuşadası",""
"Kuşadası Marina Bölgesi 64 Evler""de 2+1 Bahçe Katı Kiralık","110","2+1","18.000 TL","Kuşadası",""
"Kuşadası Merkezde Kiralık 2+1 Daire","100","2+1","15.000 TL","Kuşadası",""
"EFELER GAYRİMENKUL Klimalı EŞYALI Ara KAT CADDE ÜZERİ","50","1+1","9.000 TL","EfelerMerkez",""
"kiralık daire","140","2+1","30.000 TL","Kuşadası","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"EFE'DEN ADNAN MENDERES MAH.DE KİRALIK 2+1 DAİRE","95","2+1","15.000 TL","EfelerMerkez",""
"2+1 Kiralık Daire","90","2+1","5.000 TL","EfelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"GÜZELHİSAR MAH 2+0 AMERİKAN MUTFAK KİRALIK","85","2+0","10.000 TL","EfelerMerkez",""
"LİYA EMLAK'tan KUŞADASI DEĞİRMENDERE MAH.140M2 KİRALIK 2+1 DAİRE","140","2+1","15.000 TL","Kuşadası",""
