"searchResultThumbnailPlaceholder src","classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Kiralık 2+1","100","2+1","8.750 TL","EfelerMerkez"
"","Orta Mahalle'de kiralık 3+2 dubleks daire full eşyalı","135","3+2","16.000 TL","EfelerMerkez"
"","SATURN GAYRİMENKUL'DEN KURTULUŞ MH. DE KİRALIK 3+1 DAİRE","167","3+1","18.000 TL","EfelerMerkez"
"","EGE MAHALLESİNDE KİRALIK 3+1 TERS DUBLEX","150","3+1","20.000 TL","Kuşadası"
"","NAZİLLİ ÇAPAHASAN MAH KİRALIK 2+0 5. KAT ASANSÖRLÜ DAİRE","75","2+0","6.000 TL","NazilliSümer"
"","AKDENİZ REFORM DAN FULL ESYALİ KOMBİLİ COK TEMİZ FERAH 1+1 DAİRE","75","1+1","10.000 TL","EfelerMerkez"
"","BSFOR'DAN İSABEYLİ DE ÜNİVERSİTE YAKIN EŞYALI KİRALIK 1+1 DAİRE","60","1+1","6.500 TL","Nazilliİsabeyli"
"","ZAFER MAHALLESİNDE KİRALIK LÜKS DAİRE...","155","3+1","18.000 TL","NazilliAltıntaş"
"","ÇİNE KARAKOLLAR MAH. KİRALIK DAİRE 3+1","145","3+1","10.000 TL","ÇineKöyler"
"","EGE MAHALLESİNDE PIRIL PIRIL DAİRE","110","2+1","18.000 TL","Kuşadası"
"","EGE MAHALLESİNDE DENİZ MANZARALI EŞYALI 1+1 KİRALIK DAİRE","110","1+1","15.000 TL","Kuşadası"
"","PINARBAŞI SİTE İÇERİSİNDE DOĞALGAZLI 2+1 KİRALIK DAİRE","110","2+1","13.000 TL","NazilliAltıntaş"
"","CUMHURİYET MAHALLESİNDE REZİDANS DAİRE","165","3+1","18.000 TL","İncirliova"
"","KUŞADASI'NDA SIFIR EŞYALI HAVUZLU 1+1 KİRALIK DAİRE","65","1+1","15.000 TL","Kuşadası"
"","KUŞADASI LÜX REZİDANCE FULL EŞYALI DOĞALGAZLI 1+1","65","1+1","17.000 TL","Kuşadası"
"","HAVUZLU SİTEDE FULL EŞYA ARAKAT ASANSÖRLÜ 1+1 DAİRE","65","1+1","17.000 TL","Kuşadası"
"","***AYS***den DOĞALGAZLI HAVUZLU ,GÜVENLİKLİ SİTEDE LÜX EŞYALI","90","2+1","22.000 TL","Kuşadası"
"","KUŞADASI GOLF RESORT'da HAVUZ BAŞI BAHÇE KATI YILLIK KİRALIK","72","1+1","20.000 TL","KuşadasıDavutlar"
"","Altındiş | Kiralık | Teraslı Dublex | 4+1 Sıfır Daire","270","4+1","25.000 TL","EfelerMerkez"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","efelerde içi yeni yapılı 2+1 daire","125","2+1","13.000 TL","EfelerMerkez"
