"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"DEĞİRMENDERE DE HAVUZLU SİTE İÇERİSİNDE EŞYALI 1+1 DAİRE","60","1+1","16.000 TL","Kuşadası"
"VİZYON GAYRİMENKUL'DEN MİMAR SİNAN MAH'DE 145 M2 KİRALIK DAİRE","170","4+1","18.500 TL","EfelerMerkez"
"GİRNE MAHALLESİNDE ELİF KENTTE D.GAZLI KİRALIK DAİRE","120","3+1","12.000 TL","EfelerMerkez"
"TATLISES KONAKLARINA YAKIN FULL EŞYALI DEVAMLI KİRALIK DAİRE","85","2+1","17.000 TL","Kuşadası"
"MERKEZE YAKIN EŞYALI KİRALIK 2+1 DAİRE","100","2+1","18.500 TL","Kuşadası"
"CUMA MAHALLESİNDE EKSPER EMLAKTAN D.GAZLI DAİRE","115","2+1","9.500 TL","EfelerMerkez"
"Kurtuluş mah.kiralık eşyalı 1+1","50","1+1","10.000 TL","EfelerMerkez"
"EGE MAHALLESİNDE KİRALIK 3+1 DAİRE - Adakeywest","150","3+1","25.000 TL","Kuşadası"
"KUŞADASI TÜRKMENDE EŞYALI YÜKSEK GİRİŞ 2+1","100","2+1","18.000 TL","Kuşadası"
"sahibinden kiralik daire","120","1+1","12.000 TL","Kuşadası"
"FAKÜLTE KARŞISI KİRALIK EŞYALI BALKONLU 1+1 DAİRE","65","1+1","6.500 TL","Nazilliİsabeyli"
"ZAFER MAHALLESİNDE 2+1 EŞYALI SIFIR DAİRELER","100","2+1","18.000 TL","EfelerMerkez"
"Kuşadasında eşyalı 2+1 kiralık daire","124","2+1","20.000 TL","Kuşadası"
"SAHİBİNDEN KİRALIK ALTINKUM DENİZE SIFIR EŞYALI DAİRE","70","1+1","25.000 TL","DidimYenihisar"
"KİRALİK 3+1 MUHTEŞEM DENİZ MANZARALI DOĞAL GAZLI DAİRE","167","3+1","25.000 TL","Kuşadası"
"BESTE EMLAK'tan Sümerde Eşyalı 1+1 daire","60","1+1","6.000 TL","NazilliSümer"
"3+1 Kombi/doğalgaz Havuzlu site içerisinde SIFIR DAİRE","170","3+1","25.000 TL","Kuşadası"
"SAAHİBİNDEN KİRALIK 2+0","80","2+0","12.000 TL","Söke"
"KİRALIK 1+1 EŞYALI GENİŞ HAVUZLU DAİRE","65","1+1","10.500 TL","EfelerMerkez"
"EGE MAHALLESİNDE 1+1 CATI KATI KIRALIK GENIS TERAS","75","1+1","13.000 TL","Kuşadası"
"Zaferde eşyalı kiralık 1+1","55","1+1","12.000 TL","EfelerMerkez"
"Üniversiteye Yürüyerek 3 Dakika Lüks 3+1 Kiralık","175","3+1","12.000 TL","Köşk"
"KİRALIK 3+1 DAİRE","135","3+1","23.000 TL","Söke"
"GİRNE MAH. 2+1 AYRI MUTFAK KİRALIK DAİRE","110","2+1","15.000 TL","EfelerMerkez"
"KUŞADASI MERKEZDE DEVAMLI KİRALIK 2+1 AÇIK MUTFAK EŞYALI DAİRE","90","2+1","20.000 TL","Kuşadası"
"Kadınlar denizinde 2+1","90","2+1","15.000 TL","Kuşadası"
"FATİH İLK OKULU YANINDA ÇARŞIYA YAKIN KİRALIK DAİRE","175","3+1","15.000 TL","NazilliAltıntaş"
"DİDİM ÇAMLIK MAH. DEVAMLI KİRALIK 2+1 AÇIK MUTFAKLI EŞYALI DAİRE","90","2+1","18.500 TL","DidimYenihisar"
"Üniversiteye Yürüyerek 3 Dakika Site İçinde Kiralık","70","2+0","10.000 TL","Köşk"
"Herşey dahil ısınma internet aidat abonelikleri açık full eşyalı","60","1+1","11.000 TL","Söke"
"FON GAYRİMENKULDEN ORTA MAH 1+1 62M2 KİRALIK EŞYALI LÜKS DAİRE","62","1+1","10.000 TL","EfelerMerkez"
"Sahibinden Merkezi Konumda Geniş 3+1","160","3+1","22.000 TL","EfelerMerkez"
"AYDIN GAYRİMENKUL DEN ADNAN MENDERES MAH. EŞYALI 2+1 DAİRE","90","2+1","15.000 TL","EfelerMerkez"
"Kuşadası davutlar da kiralık daire","130","2+1","30.000 TL","KuşadasıDavutlar"
"EFELER MAH, 3+1, ASANSÖRLÜ, SİTE İÇİ, KİRALIK DAİRE","125","3+1","11.000 TL","EfelerMerkez"
"AYDIN EFELER GÜZELHİSAR MH. SIFIR 1+1 DAİRE KİRALIK","35","1+1","8.000 TL","EfelerMerkez"
"Kuşadası Ege Mah.de Muhteşem Deniz Manzaralı Kiralık 3+1 Daire","165","3+1","25.000 TL","Kuşadası"
"SATURN GAYRİMENKUL'DEN KUŞADASI EGE MH. DE KİRALIK 3+1 DAİRE","155","3+1","26.000 TL","Kuşadası"
"Ege Mah. Full manzara doğalgazlı 4+1 çatı dubleks","240","4+1","23.000 TL","Kuşadası"
"MEŞRUTİYET MAHALLESİNDE KİRALIK DAİRE","90","2+1","7.000 TL","EfelerMerkez"
"ZAFER MAHALLESİNDE EŞYALI KİRALIK DAİRE","130","2+1","9.500 TL","EfelerMerkez"
"SAHİLE 30 METRE / DOLMUŞ HATTI ÜZERİ / EN İYİ KONUM GARANTİMİZ","20","Stüdyo (1+0)","15.000 TL","DidimYenihisar"
"Doğu Gazi Bulvarında Kiralık 1+1 Daire","55","1+1","12.000 TL","EfelerMerkez"
"Zafer meydanı kiralık 1+1 eşyalı daire","50","1+1","13.000 TL","EfelerMerkez"
"KUŞADASI MERKEZDE EŞYALI 1+1 KİRALİK ARAKAT DAİRE","55","1+1","16.000 TL","Kuşadası"
"Aydın Royal EMLAK'DAN Kiralık 2+1 Daire","90","2+1","17.000 TL","EfelerMerkez"
"FON'DAN ZAFER MAHALLESİ 2+1 85M2 SIFIR ULTRA LÜX EŞYALI DAİRE","85","2+1","18.500 TL","EfelerMerkez"
"Kuşadası Kahramanlar Caddesi Askerlik Şubesi Karşısı 2+1 Eşyalı","85","2+1","21.500 TL","Kuşadası"
"FULL EŞYA DAYALI DÖŞELİ 2+1 APART DAİRE'LER KALORİFERLİ KLİMALI","80","2+0","10.000 TL","Bozdoğan"
"MYKANGURU'DAN KİRALIK KÜTÜPHANE CADDESİNDE 3+1 EŞYALI DAİRE","130","3+1","10.000 TL","EfelerMerkez"
