"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","titleIcon src 3"
"AYLİK KİRAYA VERİLİR. 1-2-3-4-6 AY ŞEKLİNDE-- Herşey DAHİL","55","1+1","21.500 TL","Buca",""
"Medikal Point Hastanesi Yakını 3+1 Sıfır Lüks Kiralık Daire","105","3+1","22.001 TL","Karşıyakaİmbatlı",""
"İzmir Karşıyaka'da Tamamen Eşyalı Bahçeli ve Havuzlu 2+1 Daire","75","2+1","22.250 TL","Karşıyaka",""
"OSMANGAZİ ŞEHİR HASTANESİ YAKINI KİRALIK 2+1 SIFIR DAİRE","110","2+1","15.800 TL","BayraklıManavkuyu",""
"ÇİĞLİ ESENTEPE PANORAMA EVLERİ2+1 3+1 MANZARALI KİRALIK DAİRELER","85","2+1","21.000 TL","ÇiğliEgekent",""
"BAYRAKLI MANSUROĞLU MAH. DOĞALGAZLI KLİMALI EŞYALI KİRALIK DAİRE","120","3+1","22.500 TL","Bayraklı",""
"BORNOVA ATATÜRK MAH. DOĞALGAZLI 4+1 KİRALIK DAİRE","140","4+1","22.500 TL","BornovaAtatürk",""
"3+2 KİRALIK 250M² MANZARALI DAİRE","250","3+2","30.000 TL","KarabağlarHatay",""
"ÇİĞLİ BLUE LİFE SİTESİNDE EŞYALI BAHÇELİ KİRALIK 1+1 DAİRE","75","1+1","13.500 TL","ÇiğliEgekent",""
"YENİ GİRNE CADDESİ YAKINI GENİŞ SIFIR 2+1 KİRALIK DAİRE","75","2+1","18.000 TL","Karşıyakaİmbatlı",""
"BORNOVA MEVLANA MAH. D.GAZLI ANKASTRELİ KİRALIK DAİRE","60","1+1","13.500 TL","BornovaNaldöken",""
"Bucada Fakülte Karşısı 2+1 Doğalgazlı Arakat Balkonlu Ev","90","2+1","15.000 TL","Buca",""
"SEYREK KÖYDE KİRALIK DAİRE","100","2+1","13.500 TL","MenemenSeyrek",""
"KENT 2 DE ÖZKAYALAR PRESTİJ SİTESİNDE KİRALIK 4+1 DUBLEKS DAİRE","240","4+1","35.000 TL","Menemen",""
"Mahall Bomonti Yatay Blokta 2+1 Kiralık Residence","85","2+1","32.000 TL","KonakYenişehir",""
"SOYAK SİESTA HAVUZ PEYZAJ MANZARALI GÜNEY CEPHE 2+1 KİRALIK","87","2+1","23.000 TL","Karşıyaka","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"YENİFOÇADA DOĞALGAZLI KİRALIK 2+1 DAİRE","70","2+1","18.000 TL","FoçaYenifoça",""
"ÇİĞLİ EFECİTY 1+1 FULL EŞYALI KİRALIK DAİRE","70","1+1","12.500 TL","ÇiğliEgekent",""
"Konak Alsancak Da Eşyalı Kiralık Daire 2+1","90","2+1","22.000 TL","KonakAlsancak","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Konak Alsancak Da kiralık Yenilenmiş 2+1 doğalgazlı","85","2+1","19.500 TL","KonakAlsancak","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"YEŞİLYURT HASTANE YAKINI - 3+1 - D.GAZLI - BALKONLU - YENİ BİNA","125","3+1","14.000 TL","KarabağlarYeşilyurt",""
"Karşıyaka' da 2+1 Kiralık Kapalı Mutfak Daire","108","2+1","21.500 TL","KarşıyakaNergiz",""
"Güzelbahçe Yelki'de Kapalı Mutfak EŞYALI 3+1 Kiralık Daire","161","3+1","28.900 TL","Güzelbahçe",""
"Nergiz İzban Yakını 2+1 Ara Kat Kiralık Daire","110","2+1","17.000 TL","KarşıyakaNergiz",""
"Mavişehir Selçuk Bloklarında Açık Cepheli Eşyalı Kiralık 1+1","80","1+1","21.000 TL","KarşıyakaDenizbostanlısı",""
"Bornova EGE ÜNİVERSİTESİ KAMPÜS Yakını KİRALIK 3+1 DAİRE","100","3+1","17.000 TL","Bornova","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Mahall Bomonti 33.Kat Kiralık 1+0 Eşyalı Deniz Manzaralı Daire","72","Stüdyo (1+0)","25.000 TL","KonakYenişehir","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Mavişehir Flamingo Bloklarında Kiralık 3+1 Kilerli Daire","204","3+1","32.000 TL","KarşıyakaDenizbostanlısı","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Mahall Bomonti'de 44.Kat Kiralık 2+1 Daire","116","2+1","50.000 TL","KonakYenişehir","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"YENİ FOÇA | 1 HAZ.-15 EYLÜL ARASI | HAVUZLU | EŞYALI KİRALIK 2+1","100","2+1","175.000 TL","FoçaYenifoça","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"KARŞIYAKA ORDU BUL. ARAKAT EŞYALI KİRALIK DAİRE...","105","2+1","30.000 TL","KarşıyakaNergiz","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Mahall Bomonti'de 29.Kat Kiralık Çift Cepheli 3+1 Daire","182","3+1","65.000 TL","KonakYenişehir","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
"Bornova Yeşilova Mahallesinde Kiralık 2+1 Daire Eşyalı-Eşyasız","100","2+1","20.500 TL","BornovaAltındağ",""
"KEMALPAŞA ULUCAK ŞAHİNTEPESİNDE 2+1 KİRALIK LÜKS DAİRE","100","2+1","16.000 TL","KemalpaşaUlucak",""
"ATAKENT YALI MH. ÖNÜ PARK CEPHELİ İÇİ YAPILI KİRALIK ARAKAT 3+1","140","3+1","23.500 TL","KarşıyakaYalı",""
"Yalı Mahallesi'nde Harika Konumda Kiralık 2+1 Kısmi Eşyalı Daire","120","2+1","20.000 TL","KarşıyakaYalı","https://s0.shbdn.com/assets/images/virtual-tour@2x:6ca0615695e669e66d90ccdb1fb5f79f.png"
