"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"URLA YELALTI MAHALLESİNDE BAHÇELİ,EŞYALI 3+1 KİRALIK DAİRE","130","3+1","35.000 TL","Urla",""
"Sahibinden! Yeni Foça'da Full Eşyalı Merkezi Konumda 1+1 Daire","60","1+1","25.000 TL","FoçaYenifoça","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Kiralık eşyalı 2+1","120","2+1","13.500 TL","Karşıyaka","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Çeşme Marinada Kiralık Daire","85","2+1","25.000 TL","Çeşme","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"TAŞ EMLAK-KİRALIK 2+1 LÜKS DAİRE İÇİ YAPILI KARATAŞ SAHİLE YAKIN","100","2+1","12.250 TL","KonakKüçükyalı",""
"ŞİRİNYER METRO EMLAK'TAN KİRALIK YÜKSEK GİRİŞLİ 1+1 DAİRE","60","1+1","7.000 TL","Buca",""
"ŞİRİNYER METRO EMLAK'TAN KİRALIK ARAKAT GENİŞ LÜX DAİRE","170","3+1","25.000 TL","Bucaİşçievleri",""
"SIFIR YAPILI DOĞALGAZLI 2+1 KİRALIK","100","2+1","13.000 TL","Buca",""
"ADALET MAHALLESİNDE SÜPER KONUMLU DAİRE VE OFİS İÇİN UYGUN","45","1+1","17.000 TL","Bayraklı",""
"FULL EŞYALI, İKEA KONSEPT, ARAKAT KİRALIK 1+1 DAİRE","55","1+1","15.000 TL","Buca",""
"İsmet inönü mahhallesinde kiralık 2+1","80","2+1","15.000 TL","Menemen",""
"SEYREK STUDIO CITY 1. ETAP BAHÇE KATI EŞYALI KİRALIK 1+1 DAİRE","50","1+1","9.500 TL","MenemenSeyrek",""
"YENİFOÇA BURUNUCUNDA SAHİLE 50m KİRALIK","100","2+1","135.000 TL","FoçaYenifoça",""
"Mavişehir Selçuk4'te bakımlı, deniz manzaralı KİRALIK 3 +1","165","3+1","28.500 TL","KarşıyakaDenizbostanlısı",""
"TELEFERİK MAH. YENİ BİNADA, 1+1, LÜKS EŞYALI DAİRELER","40","1+1","19.000 TL","Balçova",""
"Çarşı merkezde kiralık 2+1 daire","110","2+1","13.000 TL","Torbalı",""
"K. Yaka Zübeyde Hanım Mh. de Full Eşyalı 55 m² 1+1 D.gaz Kombili","65","1+1","18.000 TL","KarşıyakaCumhuriyet",""
"2+1 ARAKAT KİRALIK DAİRE","100","2+1","13.000 TL","BornovaNaldöken",""
"SIĞACIK GİRLEN DE EŞYALI DENİZ MANZARALI KİRALIK 2+1 DAİRE","90","2+1","40.000 TL","Seferihisar",""
"SAHİBİNDEN EŞYALI HAVUZLU SPOR SALONU OTOPARKLI SİTEDE 3+1","130","3+1","21.500 TL","MenemenUlukent","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"MENEMEN SEYREK MERKEZ'DE BAKIRÇAY ÜNİ. YAKINI 1+1 KİRALIK","55","1+1","14.000 TL","MenemenSeyrek",""
"ROYAL REZİDANS'TA KİRALIK 3+1 KAPALI MUTFAK DAİRE","140","3+1","30.000 TL","KarşıyakaCumhuriyet",""
"15 NİSAN 2024","115","3+1","20.000 TL","BayraklıGümüşpala","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"BAKIRÇAY ÜNİVERSİTESİNE ÇOK YAKIN 2+1 EŞYALI DAİRE","70","2+1","15.000 TL","MenemenSeyrek",""
"Sold Urla'dan Limanreis de Deniz manzaralı 3+1 Kiralık Daire","90","3+1","45.000 TL","Narlıdere",""
"ALAN'DAN MERKEZİ KONUMSIFIR FUL LÜX EŞYALI DGAZLI KİRALIK DAİRE","55","1+1","15.000 TL","Buca",""
"Kiralık daire","68","1+1","8.000 TL","MenderesÖzdere","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Göztepe'de Tarihi Binada Yenilenmiş Eşyalı Kiralık Daire","75","2+1","34.000 TL","KonakGüzelyalı",""
"Dr. Emlak'tan Ali Fuat Cebesoy Mah. Kiralık Daire","90","2+1","13.500 TL","KarabağlarYeşilyurt",""
"Kw Murat Taştandan, Full Eşyalı,Deniz Manzaralı, Yıllık Kiralık","110","2+1","20.000 TL","Urla",""
"kiralık daire","100","2+1","7.000 TL","BornovaNaldöken","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Altındağ merkez mah","120","3+1","14.000 TL","BornovaAltındağ","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
