"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"BUCA KİRALIK FIRSAT DAİRE","50","1+1","13.000 TL","Buca"
"İZMİR SEYREK BAKIRÇAY ÜNİVERSİTESİ YAKINI EŞYALI FULL DAİRE","90","2+1","16.000 TL","MenemenSeyrek"
"BUCA ADATEPE MAHALLESİ KİRALIK DAİRE","50","1+1","12.500 TL","Buca"
"Narlıdere Folkart Karşısı Caddeye 10Mt Mesafede Köşe 2+1 Kiralık","95","2+1","17.500 TL","Narlıdere"
"FOLKART LİFE RESIDENCE SIFIR LUX EŞYA HAVUZ PEYZAJ CEPHE 1+1","64","1+1","30.100 TL","BornovaKazımdirik"
"Yok Ferah Sahibinden 2+1 Konut Geniş","80","2+1","26.000 TL","Buca"
"Yeni Foça gencelli yazlık kiralık müstakil ev","110","3+1","40.000 TL","FoçaYenifoça"
"FOLKART LİFE EŞYALI STUDİO","30","Stüdyo (1+0)","17.000 TL","BornovaKazımdirik"
"URLA ÇEŞMEALTI'NDA 1+1 EŞYALI / EŞYASIZ KİRALIK DAİRE","90","1+1","22.500 TL","UrlaÇeşmealtı"
"Söz gayrimenkulden sıfır kiralık daireler","114","3+1","15.000 TL","Ödemiş"
"BUCA KURUÇEŞMEDE, PARK MANZARALI EŞYALI KİRALIK 1+1 DAİRE","52","1+1","9.500 TL","Buca"
"Narlıdere Narbel Sitesinde Otopark Asansörlü 3+1 Kiralık Daire","115","3+1","15.000 TL","Narlıdere"
"YENİ FOÇA HAVUZLU SİTEDE EŞYALI 2+1 KİRALIK ARA KAT DAİRE","130","2+1","30.000 TL","FoçaYenifoça"
"BUCA KAMPÜS KARŞISI EŞYALI D.GAZLI BAHÇE KATI 1+1 KİRALIK DAİRE","45","1+1","11.000 TL","Buca"
"SAHİBİNDEN 2+1 MERKEZİ KONUMDA","75","2+1","13.500 TL","Bayraklı"
"İZMİR BUCA YAYLACIK MAHALLASİNDE 3+1 KİRALIK DAİRE","135","3+1","17.000 TL","Buca"
"BORNOVADA KİRALIK DAIRE 1+1 SIFIR GÜVENLİKLİ SİTE İÇİ","50","1+1","15.000 TL","BornovaNaldöken"
"LÜKS FUL EŞYALI İZMIR MANZRALI 2+1 KIRALIK DAİRE","110","2+1","17.500 TL","BornovaAtatürk"
"CB Line'dan Bostanlı'ya Yürüme Mesafesinde Kiralık Daire","110","3+1","17.000 TL","KarşıyakaNergiz"
"EMLAK 53 |EFELER MAH D.GAZLI ARAKAT 3+1 DAİRE","110","3+1","15.000 TL","BucaŞirinyer"
"KOYUNDERE MERKEZDE 2+1 DOĞALGAZLI KAPALI OTOPARKLI DAİRE","95","2+1","13.500 TL","Menemen"
"___444'DEN___HASTANE KARŞISI NEVA SUITS SIFIR 1+1 K. OTOPARKLI","50","1+1","15.000 TL","BornovaNaldöken"
"KİRALIK 1+1 DAİRE","85","1+1","13.000 TL","BayraklıGümüşpala"
"Konak Kiralık 2+1 daire","120","2+1","17.000 TL","KonakEşrefpaşa"
"KİRALIK 2+1 KUPON DAİRE","110","2+1","14.000 TL","KarabağlarYeşilyurt"
"EMLAK 53|ATATÜRK MAH MERKEZİ KONUM FULL EŞYALI 1+1 DAİRE","55","1+1","8.000 TL","Buca"
"MURAT EMLAKTAN KİRALIK MALTEPE MAHALLESİNDE ARA KAT 2+1 DAİRE","110","2+1","17.500 TL","Bergama"
"ÇİĞLİ ESENETEPE HAS EVLERİ SİTESİ 135 M2 KİRALIK 3+1 DAİRE","135","3+1","30.000 TL","ÇiğliEgekent"
"Aksoy'da Denize Yakın Eşyalı 3+1 Kiralık Daire","160","3+1","30.000 TL","Karşıyaka"
"EŞYALI BAHCELİ 3+1","165","3+1","26.000 TL","BornovaAtatürk"
"2 + 1 içi yapılı Doğalgazlı daire","115","2+1","25.000 TL","KonakGüzelyalı"
