"searchResultThumbnailPlaceholder src","classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","Kiralık 3+1 geniş daire","125","3+1","11.500 TL","AkhisarHürriyet"
"","KİRALIK EŞYALI","140","3+1","18.500 TL","TurgutluSanayi"
"","Güzelyurt Mh 1+1 havuzlu site içi eşyasız daire","70","1+1","12.000 TL","YunusemreMerkez"
"","Sahibinden Kiralık Daire","130","3+1","6.500 TL","Kırkağaç"
"","FİX'TEN ANAFARTALARDA KİRALIK 3+1 GENİŞ DAİRE","120","3+1","13.000 TL","ŞehzadelerMerkez"
"","SEDAT KOÇ'TAN TURGUTLU ERGENEKON MAH. KİRALIK 3+1 LÜKS DAİRE","170","3+1","25.000 TL","TurgutluErgenekon"
"","MANİSA SALİHLİ SEMBOL EMLAK'tan MERKEZDE KİRALIK 3+1","170","3+1","17.000 TL","Salihli"
"","ULU CAMİ MAHALLESİNDE KİRALIK 3+1 ZEMİN KAT DAİRE.","120","3+1","10.500 TL","AkhisarHürriyet"
"","Manisa Yunusemre Keçiliköy Mh'de Kiralik 2+1 Arakat Yeni Daire","95","2+1","12.500 TL","YunusemreMerkez"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","İtfaiye Yanı Tevfikiye Mh 2+1 Kiralık Daire","75","2+1","11.000 TL","YunusemreMerkez"
"","8 EYLÜL CADDESİ ÜZERİ ASANSÖRLÜ 3+1 STANDART DAİRE","120","3+1","10.000 TL","ŞehzadelerMerkez"
"","FULL EŞYALI KİRALIK KARAKÖY BÖLGESİ","90","2+1","16.000 TL","ŞehzadelerMerkez"
"","50.YIL MAH CADDE ÜZERİ KİRALIK 2+1 KAPALI MUTFAKLI DAİRE","90","2+1","12.500 TL","YunusemreMerkez"
"","ESKİ GARAJ KARŞISI 2+1 KİRALIK","90","2+1","10.000 TL","ŞehzadelerMerkez"
"","Akhisar Hürriyet'te Merkezde Caddeüstü Kiralık Arakat 3+1 Daire","120","3+1","16.000 TL","AkhisarHürriyet"
"","CUMH.KERVAN YOLU 4.KAT 155 M2 3+1 KİRALİK DAİRE","165","3+1","15.000 TL","TurgutluErgenekon"
"","Çarşı Mahallesi Kiralık 2+1 1. Balkon Daire","100","2+1","15.500 TL","ŞehzadelerMerkez"
"","Aykut'tan site içerisinde kiralık 1+1 daire","55","1+1","13.000 TL","YunusemreMerkez"
"","AYKUT'TAN MURADİYE'DE 1+1 KAPALI MUTFAKLI","80","1+1","10.000 TL","YunusemreMerkez"
"https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png","SAHİBİNDEN 3+1 Kiralik","108","3+1","10.500 TL","YunusemreMerkez"
"","ÖZGÜN GM'DEN UNCUBOZKÖY'DE KİRALIK 3+1 YÜKSEK GİRİŞ DAİRE","120","3+1","18.500 TL","YunusemreMerkez"
