"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue","searchResultThumbnailPlaceholder src"
"Eşyalı kiralık daire","80","2+1","8.000 TL","Soma",""
"TUĞRADAN MEDİGÜN HASTANESİ CİVARI 3+1 KİRALIK DAİRE","110","3+1","7.500 TL","Soma",""
"3+1 KİRALIK DAİRE","120","3+1","15.000 TL","ŞehzadelerMerkez",""
"SULTAN PARKI CEBHELİ 3+1 KİRALIK DAİRE","150","3+1","20.000 TL","ŞehzadelerMerkez",""
"HÜRRİYETTE EŞYALI ASANSÖRLÜ OTOPARKLI KİRALIK 2+0 DAİRE","65","2+0","12.000 TL","AkhisarHürriyet",""
"MANİSA YUNUSEMRE MURADİYE VİLLALAR BÖLGESİNDE KİRALIK 2+1","100","2+1","17.250 TL","YunusemreMerkez",""
"VELLİ'DEN KARAKOCA KÖYÜNDE KİRALIK MÜSTAKİL 2+1 EV","95","2+1","19.000 TL","YunusemreMerkez",""
"AKSOY MAHELLESİ KİRALIK 1+1 EŞYALI DAİRE","65","1+1","10.000 TL","SalihliBarış",""
"KİRVEM EMLAK'TAN ATATÜRK MAHALLESİNDE KİRALIK 3+1 DAİRE","135","3+1","12.500 TL","Saruhanlı",""
"SARUHANLI MERKEZDE KAPALI MUTFAK KİRALIK 1+1","65","1+1","8.750 TL","Saruhanlı",""
"ATATÜRK MAHALLESİNDE KİRALIK ARA KAT 3+1 DAİRE","130","3+1","14.000 TL","AkhisarFevzipaşa","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"DEKA LİFE'dan Villalar Bölgesinde Ön Cephe Geniş Kiralık Daire","145","3+1","28.000 TL","YunusemreMerkez",""
"FİX'TEN AYNİALİ MAHALLESİ'NDE KİRALIK ASANSÖRLÜ MASRAFSIZ DAİRE","85","2+1","15.000 TL","YunusemreMerkez",""
"ÇAĞATAY ULUÇAY OKULU CİVARI KİRALIK 3+1 DOĞALGAZLI DAİRE","135","3+1","18.000 TL","YunusemreMerkez",""
"MANİSA ŞEHZADELER 2.ANAFARTALAR KİRALIK 1+1 EŞYALI DAİRE","65","1+1","11.000 TL","ŞehzadelerMerkez",""
"MERKEZ EFENDİ DE 2+1 KİRALIK DAİRE","115","2+1","19.500 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"Manisada merkez kiralık daire","110","3+1","18.000 TL","ŞehzadelerMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"EFE GAYRİMENKUL'DEN KURTULUŞ MAHALLESİNDE KİRALIK 3+1","150","3+1","11.000 TL","Alaşehir",""
"Musal karşısı 2+1 sıfır apart daire","70","2+1","12.000 TL","TurgutluSanayi","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"AKHİSAR ATATÜRK MAHALLESİNDE KİRALIK 3+1 DAİRE","145","3+1","14.750 TL","AkhisarFevzipaşa",""
"ÇARŞI MERKEZDE KUYUMCULAR SOKAĞINDA KİRALIK 1+1 OFİS DAİRE","80","1+1","14.500 TL","Soma",""
"eşyalı kiralık daire","85","2+1","7.500 TL","YunusemreMerkez","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"MANİSA KAFELER CADDESİNDE KİRALIK 3+1 EŞYALI DAİRE","130","3+1","14.000 TL","ŞehzadelerMerkez",""
"UNCUBOZKÖY MANİSA MEYDAN DA KİRALIK 3+1 DAİRE","144","3+1","41.000 TL","YunusemreMerkez",""
"Eşyalı Kiralık 1+1 Bodrum katı","75","1+1","6.500 TL","Soma","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
"SERTAN YATIRIM GAYRİMENKULDEN KİRALIK DAİRE","135","3+1","15.000 TL","AkhisarFevzipaşa",""
"MANISA TURGUTLU CUMHURİYET M.ESYALI KİRALIK 2+1 DAIRE","85","2+1","13.000 TL","TurgutluErgenekon",""
"ELBİR EMLAKTAN KEÇİLİ KÖY MAHALLESİNDE KİRALIK 2+1 ARA KAT DAİRE","90","2+1","12.500 TL","YunusemreMerkez",""
"FAİK USTA MEVKİ EŞYALI KİRALIK 2+1","120","2+1","9.500 TL","Soma",""
"GÜZELYURT MAHALLESİ HAVUZLU SİTE İÇİ 2+1 ARAKAT DAİRE","90","2+1","20.000 TL","YunusemreMerkez",""
"SANCAKLI BOZKÖY TOKİ'DE SIFIR 2+1 KİRALIK DAİRE","90","2+1","7.000 TL","ŞehzadelerMerkez",""
"KIRALIK EŞYALI TERS KAT.","95","2+1","10.000 TL","Soma","https://s0.shbdn.com/assets/images/iconHasMegaPhotoLarge:d9417b1d5ff2b476ea61565150588a96.png"
