"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"FULL EŞYALI DOĞALGAZ+KLİMA 1+1 KİRALIK SALİHLİ MERKEZİ","55","1+1","8.500 TL","SalihliZafer"
"GÜZELYURT ODTÜ ÜLKEM KOLEJİ YAKINI KİRALIK 4+1 DAİRE","240","4+1","35.000 TL","YunusemreMerkez"
"MERKEZDE KİRALIK DOĞALGAZLI DAİRE","120","3+1","8.000 TL","AkhisarHürriyet"
"Kiralık 3+1 köşebaşı daire","130","3+1","8.500 TL","Alaşehir"
"Konutlarin en iyi yerinde KİRALIK","150","3+1","17.000 TL","TurgutluErgenekon"
"Uncubözköy Statü Trendde Dublex Eşyalı 1+1 kiralık daire","70","1+1","17.000 TL","YunusemreMerkez"
"AKMESCİT MAH 2+1 DOĞALGAZLI KİRALIK DAİRE","110","2+1","12.500 TL","YunusemreMerkez"
"DEKA LİFE'DAN Güzelyurt Bölgesinde 3+1 Kiralık Daire","215","3+1","30.000 TL","YunusemreMerkez"
"KÖKTAN GAYRİMENKULDEN MURADİYEDE 1+1 EŞYALI KİRALIK DAİRE","70","1+1","11.000 TL","YunusemreMerkez"
"ERTUĞ EMLAK'TAN UNCUBOZKÖY'DE KİRALIK DAİRE.","130","3+1","18.000 TL","YunusemreMerkez"
"KARAALİ VİLLALAR BÖLGESİNDE 2+1 ŞAHANE BAHÇELİ","75","2+1","19.000 TL","YunusemreMerkez"
"ALTINŞEHİRDEN VİLLALAR BÖLGESİNDE KİRALIK 1+1 EŞYALI BAHÇEKATI","65","1+1","13.500 TL","YunusemreMerkez"
"50.Yıl Mah'de Kiralık 3+1 Sıfır Daire","105","3+1","14.000 TL","YunusemreMerkez"
"MANİSA SALİHLİ BEŞEYLÜL MAHALLESİ KİRALIK DOĞALGAZLI DAİRE !!!!!","150","3+1","11.000 TL","Salihli"
"CADDE ÜZERİ ASANSÖRLÜ 2+1, ARAKAT KİRALIK DAİRE","100","2+1","13.000 TL","ŞehzadelerMerkez"
"Manisa Startkey Elit'den Hafsa Sultan Mh Kiralık Full Daire","110","2+1","20.000 TL","YunusemreMerkez"
"POZİTİF EMLAK TAN 3+1FATIH CADDESINDE KONUM KURTULUŞ DEGIL","140","3+1","10.000 TL","SalihliBarış"
"Muradiye'de Site içinde kiralık eşyalı daire.","75","2+1","15.000 TL","YunusemreMerkez"
"muradiye de 3+1 kiralık daire","125","3+1","12.000 TL","YunusemreMerkez"
"Manisa Güzelyurt'ta Kiralık 4+1 Havuzlu Güvenlikli Arakat Daire","185","4+1","34.000 TL","YunusemreMerkez"
"ATATÜRK MAHALLESİNDE 3+1 140M FULL LÜX KİRALIK DAİRELER","140","3+1","9.500 TL","Saruhanlı"
"KURUDERE CADDE ÜZERİ 3+1 KİRALIK DAİRE","120","3+1","7.500 TL","SalihliZafer"
"ALPHARD REZİDANS DA ÖN CEPHE FUL EŞYALI KİRALIK 1+1 DAİRE","78","1+1","16.000 TL","TurgutluSanayi"
"EMRE EMLAKTAN 1+1 EŞYALI KİRALIK DAİRE MERKEZDE MİTHATPAŞA MAH.","60","1+1","12.000 TL","SalihliZafer"
"ŞANZİMENT OKULU CİVARI 2+1 DOĞAL GAZLI KİRALIK DAİRE!","105","2+1","11.500 TL","SalihliZafer"
"İNONU MH TEKÇAM MEVKİ DOĞALGAZLİ GENİŞ DAİRE","110","2+1","9.200 TL","Soma"
"PARK MANZARA SİTESİNDE YÜZME HAVUZLU KİRALIK DAİRE","140","3+1","25.000 TL","YunusemreMerkez"
"REY MORRİS BEYAZKULE DEN KEÇİLİKÖY DE 2+1 KİRALIK DAİRE","93","2+1","12.750 TL","YunusemreMerkez"
"EŞYALI KİRALIK DAİRELER","90","2+1","13.500 TL","Soma"
"Karaali Villalar Bölgesinde 2+1 Esyali Kacirilmayacak Ev","80","2+1","20.000 TL","YunusemreMerkez"
"ETC'den Kuşlubahçe,de 3+1 Arakat, 3 Balkonlu, Özellikli KİRALIK","120","3+1","20.000 TL","ŞehzadelerMerkez"
"PLUS+ GAYRİMENKUL'den MİMAR SİNAN'da - FULL EŞYALI 2+1","90","2+1","17.500 TL","TurgutluSanayi"
"MANİSA GÜZELYURT MAHALLESİ 2+1 SİTE DE DAİRE","100","2+1","15.000 TL","YunusemreMerkez"
"GÜZELYURT MAHALLESİNDE 3+1 HAVUZLU OTOPARKLI ARA KAT FIRSATI","145","3+1","25.000 TL","YunusemreMerkez"
"VELLİ DEN 75.YIL MAHALLESİNDE FULL EŞYALI 1+1 KİRALIK DAİRE","65","1+1","15.500 TL","YunusemreMerkez"
"AKTAŞ EMLAK'TAN VİLLALAR BÖLGESİN DE BAHÇELİ 2+1","110","2+1","30.000 TL","YunusemreMerkez"
"PARK ALTI CAMİ KARŞISINDA 1+1 MERKEZDE KİRALIK DAİRE","72","1+1","9.000 TL","Soma"
"LOFÇA GAYRİMENKULDEN MURADİYE 2+1 AÇIK MUTFAKLI EŞYASIZ DAİRE","80","2+1","10.000 TL","YunusemreMerkez"
"AYTAÇ EMLAK'TAN MURADİYE'DE CADEYE YAKIN ARA KAT 2+1 DAİRE","100","2+1","10.000 TL","YunusemreMerkez"
"TURGUTLU MERKEZ ANKARA YOLU ÜZERİ KİRALIK 3+1","150","3+1","20.000 TL","TurgutluSanayi"
"EMLAK CENTER'DAN BARBAROS MAH 2+1 KİRALIK DAİRE","95","2+1","11.000 TL","YunusemreMerkez"
"Muradiye Yapınet arkasında kiralık eşyalı daire","80","2+1","16.000 TL","YunusemreMerkez"
"Gölettte oruntaş sitesinde","138","3+1","14.000 TL","AkhisarFevzipaşa"
"Emre emlaktan kiralık eşyalı daire","90","2+1","16.000 TL","YunusemreMerkez"
"AKTAŞ EMLAK'TAN MERKZDE KİRALIK DAİRE","135","3+1","11.000 TL","ŞehzadelerMerkez"
"Karaali villalar bölgesinde kiralık 1 + 1 daire","60","1+1","11.000 TL","YunusemreMerkez"
"KOÇAK'TAN;2+1 ARAKAT ANKASTRELİ ATATÜRK MH. MERKEZDE KİRALIK","89","2+1","12.500 TL","YunusemreMerkez"
"AKİF EMLAK'TAN ÖZSARUHAN BULVAR ÜZERİ 3+1 KİRALIK DAİRE","130","3+1","13.000 TL","YunusemreMerkez"
"LİFE CİTY SIFIR EŞYALI KİRALIK DAİRELER 1+1","65","1+1","13.000 TL","TurgutluSanayi"
"DEKA LİFE DAN VİLLAR BÖLGESİNDE AİLE SİTESİNDE KİRALIK 2+1 DAİRE","90","2+1","20.000 TL","YunusemreMerkez"
