title,city,district,neighborhood,room,salon,area,age,floor,price
Banazda Şehir Merkezinde Heryere Ulaşimi Çok Yakın Kikalık 3+1 Dogalgazlı Daire,usak,banaz,cumhuriyet,3,1,150,20,-2,70
Kemalöz Semt Pazarı Yanı Kiralık 2+1 Daire,usak,merkez,kemaloz,2,1,110,8,1,85
Bakır Gayrimenkul Den Kiralık Atapark Yakını Karakıran Cami Yakını  2+0=60m2 Eşyasız Apart,usak,merkez,kemaloz,1,1,60,0,4,70
Fatih Caddesi Üzerinde Lüks Kiralık 1+1 Apart,usak,merkez,durak,1,1,50,10,5,70
"Uşak,Merkez,Cumhuriyet Mah.Kiralık 4+1 Dubleks Daire 300m2",usak,merkez,cumhuriyet,4,1,300,11,7,165
"Uşak,Merkez,Atapark,Ertuğrul Park'ta Öncephe Kiralık 3+1 117 M2",usak,merkez,cumhuriyet,3,1,117,0,3,200
Kiralık Daire Asansörlü Merkezi Sistem Isıtma 5.Kat,usak,merkez,durak,3,1,150,5,5,220
Gökçay Dan Kiralık Uşak Merkez 2+0 Eşyalı Balkonlu Arakat Apart,usak,merkez,unalan,2,0,70,4,2,70
Kemalöz Mahallesinde 2+1 Kiralık Daire,usak,merkez,kemaloz,2,1,110,3,1,725
Uşak Merkez Cumhuriyet Mh.De Kiralık 3+1 Daire,usak,merkez,cumhuriyet,3,1,140,15,5,150
Fatih Mahallesi Borsa İstanbul Ortaokulu Yakını,usak,merkez,fatih,3,1,130,0,2,100
Ünalan Mahallesi Küçük Çarşıda Eşyalı 2+1  Kiralık Apart,usak,merkez,unalan,2,1,75,4,3,75
Uşak Merkez Kemalöz'de Kiralık 4+1 Daire,usak,merkez,kemaloz,4,1,140,10,-1,150
Uşak Merkez’de 3+1 Kiralık Daire,usak,merkez,cumhuriyet,3,1,160,20,3,675
Batıkent Mevki Kiralık Sıfır Daire,usak,merkez,cumhuriyet,3,1,165,0,-1,210
"Uşak,Merkez,Atapark'ta 2+1 Fuoll Eşyalı 70m2",usak,merkez,kemaloz,2,1,75,5,2,140
Banaz 31 Agustos Mah. Kiralık 3+1 Daire,usak,banaz,cumhuriyet,3,1,135,0,3,100
Kiralık Eşyalı 3+1 Daire,usak,merkez,ataturk,3,1,150,10,1,100
Ünalan Mah.Tapu Müdürlüğü Altında 2+0 Kiralık,usak,merkez,unalan,2,1,85,0,-1,75
Cumhuriyet Mh.Site İçerisinde Kiralık Sıfır 3+1 Daire,usak,merkez,cumhuriyet,3,1,135,1,9,150
Öğrenciye Ve Memura Kiralık Elektrik Su Doğalgaz Ve Aidat Dahil Fiyatıdır,usak,merkez,kurtulus,1,1,120,24,3,80
Cumhuriyet Mh. Sıfır 3+1 Arakat Kiralık Daire,usak,merkez,cumhuriyet,3,1,135,0,3,150
Selam Emlak Ofisinden 2+0 Harika Konumda Yeni Yapı Kiralık Mükemmel Daire,afyonkarahisar,merkez,hasan,2,0,60,5,3,7500
Selam Emlak Ofisinden 1+1 Ful Eşyalı Tıp Fakültesi İstikametinde ( Mavi Hastane ) Kiralık Daire,afyonkarahisar,merkez,hasan,1,1,48,2,-1,8500
Sahibinden Yenice De Kiralık 3+1 Daire,afyonkarahisar,merkez,yenice,3,1,130,10,5,15000
Safran Dan Afyon Erenler   Kocatepe Üniversitesi Yakını Orta Kat  Ferah Asansörlü,afyonkarahisar,merkez,erenler,1,1,70,5,3,5000
Ali İhsan Paşa Mah. Kiralık 2+1 Daire..!,afyonkarahisar,merkez,ali,2,1,120,20,5,7000
Fatih Mahallesinde 130 M2 3+1 Arakat Sıfır Kiralık Daire,afyonkarahisar,merkez,fatih,3,1,130,1,2,15000
Ali İhsan Paşa Mah. Kiralık 3+1 Daire..!,afyonkarahisar,merkez,ali,3,1,125,20,5,8000
Öztürk Emlak'tan Erkmen Toki 'de 3+1 Afjetli 3.Kat Daire,afyonkarahisar,merkez,erkmen,3,1,125,17,5,11000
Sılam Emlaktan İstiklal Mahallesinde 3+1 Kıralık Daire,afyonkarahisar,merkez,istiklal,3,1,120,20,1,9000
Afyon Vizyon Emlaktan Ali İhsan Paşa Mh.Kiralık 3+1 Bakımlı Daire!,afyonkarahisar,merkez,ali,3,1,130,15,1,9000
Sılam Emlak'tan Kanlıca  Mahallesinde 1+1  Kıralık Daıre,afyonkarahisar,merkez,kanlica,1,1,80,30,0,3000
Nokta Emlak'tan Esentepe Mh. 3+1 Kiralık Daire,afyonkarahisar,merkez,esentepe,3,1,135,28,2,10000
Afyon Vizyon Emlaktan Mareşal Fevzi Çakmak Mahallesinde Kiralık 2+1 Bakımlı Daire!!!,afyonkarahisar,merkez,maresal,2,1,95,17,4,6500
Sılam Emlak Deprem Evlerden 2+1 Kiralık Daire,afyonkarahisar,merkez,dortyol,2,1,125,10,2,2500
Sahipata Mahallesinde 3+1 150 M2 1 Kat Kiralık Daire,afyonkarahisar,merkez,sahipata,3,1,150,25,1,8000
Afyon Vizyon Emlaktan Uydukent'te Kiralık 2+1 Bahçe Kat Eşyalı Daire!,afyonkarahisar,merkez,osman,2,1,95,17,0,6000
Afyon Vizyon Emlaktan Erenler'de Kiralık 2+1 Eşyalı Daire!,afyonkarahisar,merkez,erenler,2,1,95,15,2,6000
Çarşı Merkezinde Kiralık 2+1 Daire,afyonkarahisar,cay,asagi,2,1,100,30,5,5500
Hayalimden Güney Cephe Manzaralı Daire,afyonkarahisar,merkez,esentepe,2,1,105,16,3,8500
Kiralık Merkezi Konumda Cadde Üstü 2+1 Daire,afyonkarahisar,cay,aktas,2,1,100,21,2,5000
Nokta Emlak'tan Kanlıca Mh.3+1 Kiralık Daire,afyonkarahisar,merkez,kanlica,3,1,120,18,2,8500
Selam Emlak Ofisinden 3+1 Park Afyon Avm Ye Komşu Geniş Teraslı Daire,afyonkarahisar,merkez,cumhuriyet,3,1,180,25,2,8000
Şirinevler Mah. Kiralık 2+1 Doğalgazlı Daire,afyonkarahisar,cay,sirinevler,2,1,100,20,0,3000
Nokta Emlak'tan Dumlupınar Mah Kiralık 2+1 Afjetli Daire,afyonkarahisar,merkez,dumlupinar,2,1,105,16,5,10000
Kiralık Daire,afyonkarahisar,merkez,veysel,2,1,100,2,1,8750
Afyon İlinin Dinar İlçesine 5km Mesafede Kiralık Çiftlik,afyonkarahisar,dinar,pinarli,1,0,3200,5,2,10000
Dost'tan Dervişpaşa'da Afjetli Kiralik 2+1 Daire,afyonkarahisar,merkez,dervis,2,1,95,31,3,8500
Dost'tan Eşrefpaşa Mahallesi Kiralık Geniş 2+1 Daire,afyonkarahisar,merkez,esrefpasa,2,1,100,21,1,6500
Sahibinden Kiralık Daire,afyonkarahisar,merkez,ali,1,1,90,16,1,7000
Afyonkarahisar Erenler Mahallesinde Kiralık 2+0,afyonkarahisar,merkez,erenler,2,0,60,4,4,7000
Sahibinden 2+1 Kiralık Daire,afyonkarahisar,bolvadin,imaret,2,1,76,15,1,4250
Öztürk Emlak'tan Merkez Cumhuriyet Mh'de Ara Kat Asansörlü Yalıtımlı Daire,afyonkarahisar,merkez,cumhuriyet,3,1,125,22,3,8500
Stüdyo House'dan Kiralık 1+1 Full Eşyalı Yakıt İnternet Dahil,afyonkarahisar,merkez,marulcu,1,1,48,10,3,8500
Nokta Emlak'tan Eşrefpaşa Mah Kiralık 2+1 Sobalı Daire,afyonkarahisar,merkez,esrefpasa,3,1,100,30,5,4500
Öztürk Emlak'tan Karşıyaka Mh'de 1+1 Doğalgazlı 2. Kat Daire,afyonkarahisar,merkez,karsiyaka,1,1,55,7,5,5500
Şuhut Merkezde Kiralık Daire,afyonkarahisar,suhut,haci,3,1,120,2,2,8000
